Data;Produkt;Przychód;Koszt
24.06.2025;Gruszki;3 886,00 zł;3 031,10 zł
4.05.2025;Jabłka;6 946,00 zł;2 639,50 zł
2.12.2025;Pomarańcze;9 419,00 zł;5 651,40 zł
21.04.2025;Ziemniaki;4 015,00 zł;3 051,40 zł
10.05.2025;Pomarańcze;768,00 zł;368,60 zł
27.09.2025;Banany;8 678,00 zł;6 942,40 zł
14.11.2025;Pomarańcze;1 026,00 zł;307,80 zł
31.10.2025;Banany;9 618,00 zł;3 943,40 zł
19.07.2025;Marchew;2 078,00 zł;1 641,60 zł
11.07.2025;Pomarańcze;11 885,00 zł;5 942,50 zł
3.02.2025;Gruszki;8 180,00 zł;4 989,80 zł
29.11.2025;Banany;7 982,00 zł;4 469,90 zł
25.05.2025;Banany;9 699,00 zł;7 274,30 zł
2.06.2025;Gruszki;7 717,00 zł;4 938,90 zł
20.03.2025;Banany;759,00 zł;273,20 zł
19.06.2025;Banany;11 306,00 zł;7 914,20 zł
25.07.2025;Marchew;7 285,00 zł;2 695,50 zł
14.02.2025;Banany;10 965,00 zł;3 508,80 zł
24.03.2025;Ziemniaki;2 544,00 zł;839,50 zł
29.07.2025;Banany;971,00 zł;757,40 zł
7.04.2025;Marchew;4 713,00 zł;2 686,40 zł
10.12.2025;Ziemniaki;5 522,00 zł;4 031,10 zł
10.01.2025;Marchew;1 649,00 zł;1 088,30 zł
5.12.2025;Jabłka;2 817,00 zł;1 042,30 zł
18.09.2025;Ziemniaki;9 192,00 zł;3 676,80 zł
21.08.2025;Pomidory;6 306,00 zł;3 972,80 zł
1.04.2025;Jabłka;4 907,00 zł;3 042,30 zł
29.03.2025;Pomarańcze;9 373,00 zł;7 404,70 zł
9.11.2025;Gruszki;1 687,00 zł;1 180,90 zł
1.06.2025;Gruszki;2 508,00 zł;1 730,50 zł
4.07.2025;Jabłka;9 899,00 zł;3 761,60 zł
21.02.2025;Jabłka;11 830,00 zł;6 269,90 zł
2.07.2025;Ziemniaki;5 520,00 zł;2 925,60 zł
20.08.2025;Marchew;10 943,00 zł;7 550,70 zł
6.06.2025;Ziemniaki;4 793,00 zł;2 732,00 zł
9.04.2025;Pomidory;5 414,00 zł;3 248,40 zł
18.03.2025;Pomarańcze;5 492,00 zł;4 173,90 zł
4.11.2025;Gruszki;6 155,00 zł;2 031,20 zł
16.07.2025;Marchew;11 383,00 zł;8 878,70 zł
13.10.2025;Pomarańcze;5 203,00 zł;2 393,40 zł
2.07.2025;Jabłka;2 784,00 zł;1 698,20 zł
22.02.2025;Jabłka;6 466,00 zł;5 172,80 zł
9.11.2025;Jabłka;7 051,00 zł;5 570,30 zł
28.07.2025;Banany;3 322,00 zł;2 657,60 zł
25.04.2025;Marchew;4 803,00 zł;2 929,80 zł
10.01.2025;Marchew;9 269,00 zł;7 229,80 zł
1.02.2025;Ziemniaki;2 679,00 zł;1 902,10 zł
21.12.2025;Marchew;9 239,00 zł;2 956,50 zł
18.08.2025;Banany;5 454,00 zł;1 963,40 zł
18.10.2025;Pomarańcze;5 957,00 zł;3 752,90 zł
13.03.2025;Pomidory;5 452,00 zł;2 289,80 zł
21.02.2025;Marchew;3 685,00 zł;2 247,90 zł
22.03.2025;Pomidory;1 392,00 zł;598,60 zł
26.05.2025;Ziemniaki;2 335,00 zł;1 190,90 zł
9.11.2025;Pomarańcze;8 671,00 zł;2 688,00 zł
17.09.2025;Pomidory;9 409,00 zł;4 045,90 zł
11.03.2025;Pomidory;10 859,00 zł;6 298,20 zł
20.09.2025;Gruszki;9 609,00 zł;3 363,20 zł
1.03.2025;Pomarańcze;7 803,00 zł;4 135,60 zł
28.09.2025;Ziemniaki;4 745,00 zł;1 660,80 zł
21.05.2025;Marchew;1 310,00 zł;733,60 zł
20.01.2025;Jabłka;11 840,00 zł;5 683,20 zł
24.10.2025;Banany;9 373,00 zł;4 124,10 zł
15.07.2025;Gruszki;10 856,00 zł;4 125,30 zł
26.06.2025;Banany;1 447,00 zł;520,90 zł
13.07.2025;Gruszki;5 532,00 zł;2 323,40 zł
6.04.2025;Marchew;3 375,00 zł;2 463,80 zł
13.07.2025;Banany;11 914,00 zł;8 935,50 zł
26.10.2025;Gruszki;2 823,00 zł;2 173,70 zł
18.10.2025;Banany;6 383,00 zł;4 723,40 zł
25.06.2025;Ziemniaki;11 420,00 zł;6 052,60 zł
23.05.2025;Pomarańcze;2 578,00 zł;1 237,40 zł
19.06.2025;Pomarańcze;5 141,00 zł;2 879,00 zł
19.12.2025;Banany;2 394,00 zł;1 005,50 zł
2.08.2025;Banany;9 698,00 zł;4 655,00 zł
8.08.2025;Marchew;1 111,00 zł;788,80 zł
18.06.2025;Pomidory;4 763,00 zł;2 333,90 zł
8.03.2025;Ziemniaki;9 017,00 zł;3 246,10 zł
5.12.2025;Gruszki;4 639,00 zł;3 154,50 zł
25.03.2025;Jabłka;7 818,00 zł;4 065,40 zł
26.07.2025;Pomarańcze;5 144,00 zł;2 932,10 zł
5.05.2025;Jabłka;9 789,00 zł;6 265,00 zł
22.02.2025;Pomidory;9 436,00 zł;7 265,70 zł
28.05.2025;Marchew;6 858,00 zł;2 743,20 zł
11.04.2025;Gruszki;11 442,00 zł;5 377,70 zł
11.02.2025;Marchew;5 378,00 zł;3 065,50 zł
6.03.2025;Ziemniaki;8 210,00 zł;5 500,70 zł
2.06.2025;Gruszki;7 766,00 zł;3 184,10 zł
9.06.2025;Ziemniaki;4 568,00 zł;2 055,60 zł
12.04.2025;Banany;7 099,00 zł;4 756,30 zł
22.01.2025;Ziemniaki;5 134,00 zł;3 029,10 zł
7.01.2025;Jabłka;8 398,00 zł;3 863,10 zł
6.04.2025;Ziemniaki;2 966,00 zł;2 194,80 zł
9.01.2025;Pomarańcze;4 103,00 zł;3 036,20 zł
4.05.2025;Marchew;4 153,00 zł;2 990,20 zł
12.11.2025;Marchew;11 948,00 zł;7 049,30 zł
30.12.2025;Ziemniaki;3 425,00 zł;2 157,80 zł
13.01.2025;Pomidory;6 211,00 zł;3 726,60 zł
24.05.2025;Pomidory;7 875,00 zł;4 567,50 zł
3.10.2025;Pomidory;9 142,00 zł;2 742,60 zł
2.08.2025;Pomidory;2 353,00 zł;753,00 zł
13.08.2025;Pomidory;7 112,00 zł;2 987,00 zł
21.01.2025;Gruszki;1 112,00 zł;645,00 zł
3.10.2025;Banany;3 365,00 zł;2 658,40 zł
3.03.2025;Banany;4 534,00 zł;1 405,50 zł
10.10.2025;Pomarańcze;10 340,00 zł;7 341,40 zł
21.02.2025;Ziemniaki;4 210,00 zł;2 568,10 zł
12.10.2025;Marchew;7 417,00 zł;2 596,00 zł
5.12.2025;Jabłka;7 995,00 zł;3 357,90 zł
16.05.2025;Banany;1 847,00 zł;720,30 zł
19.11.2025;Ziemniaki;792,00 zł;277,20 zł
12.11.2025;Marchew;3 308,00 zł;2 348,70 zł
22.08.2025;Marchew;11 906,00 zł;7 143,60 zł
23.09.2025;Gruszki;9 082,00 zł;3 087,90 zł
25.06.2025;Marchew;4 385,00 zł;3 201,10 zł
19.04.2025;Pomidory;2 219,00 zł;1 531,10 zł
21.11.2025;Banany;11 842,00 zł;7 223,60 zł
12.06.2025;Gruszki;9 623,00 zł;5 581,30 zł
31.08.2025;Ziemniaki;7 776,00 zł;3 577,00 zł
16.06.2025;Pomarańcze;5 264,00 zł;1 789,80 zł
12.02.2025;Pomidory;11 929,00 zł;7 992,40 zł
7.05.2025;Pomidory;3 116,00 zł;1 464,50 zł
31.05.2025;Pomarańcze;9 074,00 zł;3 629,60 zł
3.10.2025;Banany;5 701,00 zł;2 964,50 zł
24.09.2025;Jabłka;9 400,00 zł;3 572,00 zł
11.10.2025;Ziemniaki;11 432,00 zł;7 430,80 zł
21.05.2025;Jabłka;6 956,00 zł;3 617,10 zł
1.10.2025;Pomarańcze;9 521,00 zł;7 045,50 zł
12.10.2025;Jabłka;8 545,00 zł;3 503,50 zł
21.08.2025;Jabłka;1 744,00 zł;837,10 zł
30.09.2025;Jabłka;8 635,00 zł;5 785,50 zł
28.03.2025;Ziemniaki;1 224,00 zł;722,20 zł
14.01.2025;Ziemniaki;1 528,00 zł;947,40 zł
12.11.2025;Gruszki;4 039,00 zł;1 332,90 zł
23.09.2025;Banany;7 403,00 zł;2 961,20 zł
8.07.2025;Jabłka;6 382,00 zł;2 999,50 zł
26.10.2025;Ziemniaki;3 535,00 zł;1 237,30 zł
25.12.2025;Marchew;8 483,00 zł;6 786,40 zł
29.08.2025;Pomarańcze;7 340,00 zł;5 358,20 zł
