Data;Produkt;Przychód;Koszt
7.01.2026;Ziemniaki;1 011,00 zł;717,80 zł
3.09.2026;Jabłka;3 385,00 zł;2 132,60 zł
4.08.2026;Gruszki;4 999,00 zł;3 249,40 zł
30.07.2026;Pomidory;9 427,00 zł;5 184,90 zł
21.10.2026;Banany;2 461,00 zł;1 353,60 zł
22.03.2026;Jabłka;7 151,00 zł;3 575,50 zł
18.11.2026;Gruszki;7 703,00 zł;5 315,10 zł
14.11.2026;Banany;917,00 zł;458,50 zł
8.06.2026;Gruszki;9 838,00 zł;5 706,00 zł
21.12.2026;Ziemniaki;2 353,00 zł;1 811,80 zł
13.01.2026;Pomarańcze;914,00 zł;612,40 zł
2.08.2026;Ziemniaki;8 336,00 zł;5 835,20 zł
5.07.2026;Marchew;10 825,00 zł;7 252,80 zł
30.01.2026;Jabłka;805,00 zł;579,60 zł
15.11.2026;Banany;1 055,00 zł;844,00 zł
21.11.2026;Gruszki;1 830,00 zł;951,60 zł
25.12.2026;Pomidory;949,00 zł;635,80 zł
3.01.2026;Ziemniaki;1 552,00 zł;481,10 zł
23.05.2026;Marchew;9 648,00 zł;4 245,10 zł
18.08.2026;Jabłka;3 690,00 zł;1 512,90 zł
13.01.2026;Banany;10 238,00 zł;4 095,20 zł
2.02.2026;Ziemniaki;6 581,00 zł;3 027,30 zł
4.07.2026;Gruszki;11 739,00 zł;8 569,50 zł
26.05.2026;Gruszki;8 373,00 zł;2 763,10 zł
8.05.2026;Pomarańcze;9 086,00 zł;6 360,20 zł
27.07.2026;Marchew;5 025,00 zł;3 567,80 zł
11.08.2026;Pomarańcze;11 965,00 zł;8 495,20 zł
22.05.2026;Gruszki;2 754,00 zł;1 211,80 zł
11.08.2026;Jabłka;826,00 zł;611,20 zł
15.01.2026;Marchew;11 653,00 zł;5 360,40 zł
13.04.2026;Pomidory;8 021,00 zł;6 256,40 zł
27.03.2026;Pomidory;9 112,00 zł;3 189,20 zł
12.02.2026;Pomidory;5 301,00 zł;2 226,40 zł
30.01.2026;Banany;7 215,00 zł;3 030,30 zł
20.06.2026;Gruszki;8 718,00 zł;5 579,50 zł
12.07.2026;Pomarańcze;4 936,00 zł;3 159,00 zł
22.01.2026;Gruszki;5 098,00 zł;3 160,80 zł
8.08.2026;Ziemniaki;1 402,00 zł;490,70 zł
14.11.2026;Gruszki;6 778,00 zł;3 456,80 zł
8.08.2026;Pomarańcze;10 967,00 zł;5 264,20 zł
9.10.2026;Banany;9 954,00 zł;3 284,80 zł
1.05.2026;Pomarańcze;11 106,00 zł;7 996,30 zł
3.03.2026;Jabłka;10 700,00 zł;5 778,00 zł
10.11.2026;Gruszki;7 537,00 zł;5 652,80 zł
17.07.2026;Ziemniaki;1 321,00 zł;753,00 zł
7.07.2026;Pomidory;7 445,00 zł;2 382,40 zł
23.11.2026;Gruszki;4 954,00 zł;3 963,20 zł
27.07.2026;Ziemniaki;4 205,00 zł;1 892,30 zł
16.07.2026;Pomidory;1 475,00 zł;1 121,00 zł
17.02.2026;Gruszki;10 953,00 zł;4 271,70 zł
15.06.2026;Jabłka;5 264,00 zł;2 737,30 zł
1.05.2026;Gruszki;3 596,00 zł;1 474,40 zł
25.09.2026;Pomidory;3 320,00 zł;1 859,20 zł
26.09.2026;Jabłka;10 708,00 zł;7 923,90 zł
9.11.2026;Gruszki;11 084,00 zł;6 428,70 zł
1.09.2026;Banany;6 167,00 zł;2 836,80 zł
25.07.2026;Gruszki;7 441,00 zł;4 241,40 zł
31.05.2026;Pomarańcze;8 903,00 zł;3 027,00 zł
26.07.2026;Gruszki;6 681,00 zł;3 206,90 zł
3.09.2026;Pomidory;3 155,00 zł;1 356,70 zł
29.12.2026;Pomidory;11 709,00 zł;5 503,20 zł
4.11.2026;Marchew;2 417,00 zł;1 063,50 zł
24.12.2026;Jabłka;6 554,00 zł;5 046,60 zł
16.10.2026;Gruszki;7 977,00 zł;6 062,50 zł
15.06.2026;Pomidory;5 017,00 zł;2 408,20 zł
12.04.2026;Pomarańcze;1 499,00 zł;899,40 zł
10.10.2026;Marchew;10 032,00 zł;5 617,90 zł
31.10.2026;Pomidory;2 786,00 zł;1 922,30 zł
1.08.2026;Pomarańcze;5 031,00 zł;3 119,20 zł
6.04.2026;Pomidory;2 021,00 zł;1 354,10 zł
1.08.2026;Marchew;5 490,00 zł;2 305,80 zł
21.05.2026;Ziemniaki;5 304,00 zł;3 553,70 zł
26.01.2026;Pomidory;775,00 zł;356,50 zł
14.06.2026;Marchew;4 392,00 zł;1 537,20 zł
16.10.2026;Banany;919,00 zł;735,20 zł
13.01.2026;Pomidory;11 495,00 zł;3 908,30 zł
9.11.2026;Pomarańcze;11 432,00 zł;4 801,40 zł
17.09.2026;Gruszki;11 707,00 zł;3 863,30 zł
16.12.2026;Marchew;5 462,00 zł;3 604,90 zł
31.03.2026;Banany;5 492,00 zł;4 393,60 zł
11.09.2026;Pomarańcze;11 622,00 zł;3 835,30 zł
11.09.2026;Ziemniaki;10 412,00 zł;7 288,40 zł
4.05.2026;Pomidory;4 145,00 zł;2 901,50 zł
30.09.2026;Ziemniaki;10 635,00 zł;6 593,70 zł
21.01.2026;Gruszki;981,00 zł;372,80 zł
28.06.2026;Banany;3 582,00 zł;2 794,00 zł
4.07.2026;Ziemniaki;3 141,00 zł;1 947,40 zł
12.02.2026;Banany;5 730,00 zł;4 125,60 zł
26.12.2026;Jabłka;2 958,00 zł;1 508,60 zł
5.10.2026;Marchew;5 920,00 zł;3 729,60 zł
29.07.2026;Pomarańcze;4 258,00 zł;2 554,80 zł
20.03.2026;Ziemniaki;2 282,00 zł;1 802,80 zł
29.03.2026;Jabłka;4 348,00 zł;2 913,20 zł
29.01.2026;Marchew;6 020,00 zł;4 033,40 zł
5.09.2026;Banany;5 781,00 zł;3 006,10 zł
30.06.2026;Ziemniaki;503,00 zł;176,10 zł
4.04.2026;Jabłka;1 466,00 zł;659,70 zł
8.10.2026;Marchew;10 725,00 zł;4 504,50 zł
3.04.2026;Banany;5 660,00 zł;3 169,60 zł
21.08.2026;Pomarańcze;1 845,00 zł;1 162,40 zł
1.12.2026;Banany;7 133,00 zł;2 781,90 zł
18.10.2026;Pomidory;9 120,00 zł;4 651,20 zł
29.11.2026;Gruszki;11 419,00 zł;5 138,60 zł
8.11.2026;Gruszki;10 649,00 zł;6 069,90 zł
18.12.2026;Ziemniaki;6 862,00 zł;2 333,10 zł
25.11.2026;Marchew;5 564,00 zł;2 058,70 zł
3.07.2026;Pomarańcze;6 928,00 zł;4 503,20 zł
16.03.2026;Pomarańcze;3 834,00 zł;1 418,60 zł
22.01.2026;Marchew;6 562,00 zł;4 659,00 zł
17.02.2026;Jabłka;6 372,00 zł;2 548,80 zł
21.03.2026;Gruszki;10 989,00 zł;6 483,50 zł
1.02.2026;Ziemniaki;9 809,00 zł;5 885,40 zł
27.05.2026;Banany;8 638,00 zł;6 046,60 zł
5.11.2026;Jabłka;10 551,00 zł;6 752,60 zł
1.10.2026;Marchew;6 288,00 zł;3 206,90 zł
17.02.2026;Ziemniaki;8 615,00 zł;3 618,30 zł
15.09.2026;Marchew;7 405,00 zł;4 220,90 zł
14.06.2026;Jabłka;6 947,00 zł;5 488,10 zł
13.10.2026;Gruszki;9 610,00 zł;6 823,10 zł
30.07.2026;Marchew;7 801,00 zł;3 042,40 zł
4.04.2026;Marchew;1 151,00 zł;863,30 zł
13.12.2026;Gruszki;7 050,00 zł;2 890,50 zł
9.09.2026;Pomidory;9 549,00 zł;3 724,10 zł
20.06.2026;Pomarańcze;9 535,00 zł;5 148,90 zł
30.03.2026;Jabłka;5 245,00 zł;2 150,50 zł
9.03.2026;Banany;10 108,00 zł;4 750,80 zł
23.11.2026;Ziemniaki;8 368,00 zł;4 518,70 zł
26.08.2026;Jabłka;2 624,00 zł;1 180,80 zł
14.10.2026;Gruszki;9 107,00 zł;5 008,90 zł
11.11.2026;Banany;11 637,00 zł;6 284,00 zł
12.06.2026;Banany;6 630,00 zł;2 983,50 zł
7.04.2026;Pomarańcze;559,00 zł;396,90 zł
25.11.2026;Ziemniaki;10 189,00 zł;6 826,60 zł
21.01.2026;Banany;11 637,00 zł;7 680,40 zł
26.08.2026;Jabłka;1 764,00 zł;811,40 zł
15.06.2026;Pomidory;1 385,00 zł;470,90 zł
5.01.2026;Pomidory;9 536,00 zł;3 146,90 zł
15.04.2026;Marchew;5 179,00 zł;3 780,70 zł
21.03.2026;Pomarańcze;4 696,00 zł;2 676,70 zł
16.12.2026;Jabłka;1 576,00 zł;1 182,00 zł
31.12.2026;Marchew;2 238,00 zł;1 253,30 zł
16.04.2026;Ziemniaki;1 309,00 zł;942,50 zł
28.06.2026;Marchew;7 632,00 zł;6 029,30 zł
25.04.2026;Pomarańcze;1 915,00 zł;938,40 zł
23.03.2026;Pomidory;9 847,00 zł;3 741,90 zł
20.09.2026;Pomarańcze;6 187,00 zł;3 959,70 zł
20.09.2026;Marchew;9 622,00 zł;6 446,70 zł
28.01.2026;Pomarańcze;2 294,00 zł;825,80 zł
28.07.2026;Marchew;3 743,00 zł;2 021,20 zł
28.09.2026;Gruszki;2 202,00 zł;1 607,50 zł
30.08.2026;Ziemniaki;3 761,00 zł;2 933,60 zł
20.03.2026;Pomarańcze;8 795,00 zł;4 221,60 zł
17.08.2026;Pomarańcze;3 822,00 zł;1 796,30 zł
15.12.2026;Gruszki;4 845,00 zł;3 246,20 zł
15.03.2026;Pomidory;7 346,00 zł;3 085,30 zł
23.10.2026;Ziemniaki;4 960,00 zł;3 472,00 zł
17.03.2026;Banany;3 815,00 zł;2 060,10 zł
10.12.2026;Jabłka;2 558,00 zł;1 304,60 zł
19.12.2026;Banany;1 397,00 zł;838,20 zł
30.09.2026;Pomarańcze;2 997,00 zł;1 948,10 zł
28.12.2026;Ziemniaki;8 884,00 zł;3 109,40 zł
12.07.2026;Pomarańcze;680,00 zł;312,80 zł
26.05.2026;Ziemniaki;6 916,00 zł;3 734,60 zł
27.06.2026;Jabłka;3 727,00 zł;2 608,90 zł
15.10.2026;Pomarańcze;9 180,00 zł;5 140,80 zł
15.12.2026;Jabłka;2 692,00 zł;1 722,90 zł
12.10.2026;Gruszki;8 103,00 zł;6 320,30 zł
14.12.2026;Gruszki;9 739,00 zł;6 427,70 zł
5.08.2026;Banany;8 967,00 zł;2 690,10 zł
10.12.2026;Jabłka;9 353,00 zł;3 086,50 zł
26.07.2026;Gruszki;9 797,00 zł;4 310,70 zł
15.09.2026;Marchew;4 570,00 zł;2 193,60 zł
12.12.2026;Banany;4 871,00 zł;1 851,00 zł
9.03.2026;Pomidory;7 098,00 zł;4 187,80 zł
7.12.2026;Banany;1 335,00 zł;614,10 zł
7.04.2026;Jabłka;2 697,00 zł;1 618,20 zł
1.02.2026;Pomarańcze;9 249,00 zł;6 474,30 zł
14.09.2026;Pomarańcze;3 696,00 zł;2 587,20 zł
23.03.2026;Banany;6 138,00 zł;2 823,50 zł
3.02.2026;Pomidory;10 654,00 zł;5 113,90 zł
1.03.2026;Gruszki;543,00 zł;369,20 zł
18.01.2026;Ziemniaki;970,00 zł;291,00 zł
23.12.2026;Gruszki;5 039,00 zł;3 124,20 zł
8.06.2026;Banany;4 495,00 zł;2 652,10 zł
31.08.2026;Banany;3 938,00 zł;2 874,70 zł
25.05.2026;Jabłka;2 820,00 zł;1 974,00 zł
13.01.2026;Marchew;4 543,00 zł;2 680,40 zł
16.09.2026;Gruszki;4 374,00 zł;3 105,50 zł
9.06.2026;Gruszki;4 559,00 zł;1 550,10 zł
2.10.2026;Banany;11 235,00 zł;6 516,30 zł
29.09.2026;Jabłka;7 126,00 zł;2 422,80 zł
8.08.2026;Pomarańcze;1 471,00 zł;676,70 zł
5.05.2026;Pomidory;3 494,00 zł;1 747,00 zł
25.04.2026;Jabłka;5 141,00 zł;2 827,60 zł
28.02.2026;Pomidory;7 055,00 zł;2 610,40 zł
25.06.2026;Banany;4 251,00 zł;3 018,20 zł
16.01.2026;Gruszki;1 494,00 zł;806,80 zł
23.10.2026;Marchew;4 227,00 zł;3 001,20 zł
16.08.2026;Jabłka;1 659,00 zł;929,00 zł
6.06.2026;Jabłka;2 998,00 zł;1 169,20 zł
19.07.2026;Jabłka;9 368,00 zł;3 934,60 zł
6.05.2026;Banany;758,00 zł;379,00 zł
28.02.2026;Jabłka;8 279,00 zł;2 980,40 zł
4.07.2026;Pomarańcze;4 540,00 zł;2 451,60 zł
25.07.2026;Pomarańcze;3 338,00 zł;1 902,70 zł
16.03.2026;Ziemniaki;9 138,00 zł;2 832,80 zł
8.05.2026;Ziemniaki;2 042,00 zł;796,40 zł
11.05.2026;Marchew;10 221,00 zł;5 621,60 zł
6.10.2026;Ziemniaki;6 632,00 zł;2 055,90 zł
1.07.2026;Jabłka;4 734,00 zł;2 083,00 zł
15.01.2026;Ziemniaki;866,00 zł;545,60 zł
19.10.2026;Jabłka;3 384,00 zł;1 522,80 zł
26.06.2026;Pomarańcze;5 958,00 zł;3 038,60 zł
22.05.2026;Marchew;10 584,00 zł;5 503,70 zł
29.05.2026;Gruszki;3 233,00 zł;1 131,60 zł
30.09.2026;Jabłka;7 784,00 zł;5 682,30 zł
9.11.2026;Marchew;1 942,00 zł;582,60 zł
16.10.2026;Banany;9 669,00 zł;7 735,20 zł
5.06.2026;Jabłka;7 157,00 zł;4 795,20 zł
2.06.2026;Pomidory;8 059,00 zł;4 271,30 zł
6.07.2026;Jabłka;11 075,00 zł;6 755,80 zł
3.04.2026;Jabłka;8 383,00 zł;2 598,70 zł
23.08.2026;Gruszki;8 912,00 zł;5 079,80 zł
19.09.2026;Gruszki;10 049,00 zł;6 531,90 zł
8.10.2026;Pomarańcze;11 665,00 zł;8 165,50 zł
21.01.2026;Marchew;7 676,00 zł;3 838,00 zł
24.10.2026;Ziemniaki;2 782,00 zł;890,20 zł
3.06.2026;Marchew;6 776,00 zł;3 997,80 zł
5.05.2026;Pomarańcze;8 184,00 zł;5 647,00 zł
14.12.2026;Jabłka;10 659,00 zł;7 887,70 zł
24.08.2026;Gruszki;8 070,00 zł;2 743,80 zł
5.11.2026;Marchew;3 590,00 zł;1 112,90 zł
17.04.2026;Banany;4 838,00 zł;2 806,00 zł
5.06.2026;Gruszki;10 353,00 zł;5 280,00 zł
27.11.2026;Jabłka;5 710,00 zł;4 111,20 zł
13.10.2026;Pomidory;5 446,00 zł;1 742,70 zł
24.10.2026;Pomarańcze;10 073,00 zł;7 151,80 zł
25.03.2026;Gruszki;2 152,00 zł;1 700,10 zł
12.02.2026;Ziemniaki;11 317,00 zł;8 827,30 zł
29.04.2026;Gruszki;4 042,00 zł;2 950,70 zł
20.09.2026;Pomarańcze;2 738,00 zł;1 971,40 zł
2.06.2026;Ziemniaki;9 173,00 zł;5 045,20 zł
14.05.2026;Jabłka;4 483,00 zł;1 838,00 zł
29.08.2026;Gruszki;1 978,00 zł;830,80 zł
18.06.2026;Banany;7 298,00 zł;2 189,40 zł
27.11.2026;Ziemniaki;9 278,00 zł;5 381,20 zł
7.04.2026;Gruszki;10 363,00 zł;4 663,40 zł
15.12.2026;Pomarańcze;5 244,00 zł;2 045,20 zł
17.12.2026;Jabłka;11 802,00 zł;5 074,90 zł
1.03.2026;Pomarańcze;4 450,00 zł;1 780,00 zł
2.08.2026;Marchew;5 736,00 zł;1 835,50 zł
17.12.2026;Marchew;11 830,00 zł;8 399,30 zł
18.06.2026;Jabłka;2 859,00 zł;1 343,70 zł
31.07.2026;Pomarańcze;7 804,00 zł;6 243,20 zł
7.10.2026;Marchew;8 236,00 zł;6 094,60 zł
4.07.2026;Gruszki;10 744,00 zł;6 016,60 zł
27.12.2026;Marchew;11 440,00 zł;4 004,00 zł
27.09.2026;Pomarańcze;5 960,00 zł;4 648,80 zł
4.07.2026;Jabłka;8 802,00 zł;4 577,00 zł
15.06.2026;Gruszki;9 087,00 zł;5 088,70 zł
19.01.2026;Marchew;9 890,00 zł;3 263,70 zł
12.12.2026;Pomarańcze;8 136,00 zł;3 823,90 zł
30.04.2026;Banany;8 541,00 zł;4 270,50 zł
1.01.2026;Banany;2 601,00 zł;1 586,60 zł
13.12.2026;Ziemniaki;3 818,00 zł;2 901,70 zł
22.08.2026;Pomidory;2 001,00 zł;1 340,70 zł
15.01.2026;Pomidory;4 198,00 zł;2 854,60 zł
29.05.2026;Gruszki;10 537,00 zł;4 530,90 zł
7.01.2026;Banany;1 896,00 zł;1 175,50 zł
13.02.2026;Pomarańcze;1 148,00 zł;884,00 zł
29.11.2026;Gruszki;7 999,00 zł;4 319,50 zł
21.11.2026;Pomidory;5 715,00 zł;3 429,00 zł
13.06.2026;Banany;9 444,00 zł;3 305,40 zł
12.01.2026;Ziemniaki;10 145,00 zł;3 246,40 zł
23.03.2026;Jabłka;7 540,00 zł;4 976,40 zł
20.03.2026;Marchew;2 775,00 zł;1 332,00 zł
18.06.2026;Pomidory;1 293,00 zł;724,10 zł
30.09.2026;Pomarańcze;7 650,00 zł;4 054,50 zł
3.08.2026;Ziemniaki;9 568,00 zł;7 271,70 zł
30.04.2026;Jabłka;8 338,00 zł;3 585,30 zł
25.08.2026;Pomidory;6 284,00 zł;2 325,10 zł
25.07.2026;Gruszki;5 639,00 zł;1 860,90 zł
9.02.2026;Ziemniaki;10 308,00 zł;5 050,90 zł
27.11.2026;Banany;8 450,00 zł;3 464,50 zł
20.04.2026;Ziemniaki;6 616,00 zł;2 447,90 zł
2.12.2026;Gruszki;7 572,00 zł;4 997,50 zł
20.01.2026;Pomidory;752,00 zł;541,40 zł
17.02.2026;Gruszki;7 457,00 zł;4 996,20 zł
31.01.2026;Ziemniaki;9 395,00 zł;6 388,60 zł
29.12.2026;Jabłka;4 452,00 zł;2 448,60 zł
31.07.2026;Banany;7 169,00 zł;3 727,90 zł
1.01.2026;Pomidory;11 985,00 zł;5 033,70 zł
12.07.2026;Pomidory;9 140,00 zł;5 301,20 zł
5.01.2026;Jabłka;605,00 zł;217,80 zł
26.06.2026;Gruszki;8 403,00 zł;5 882,10 zł
15.03.2026;Pomidory;7 079,00 zł;3 964,20 zł
3.06.2026;Jabłka;560,00 zł;392,00 zł
26.06.2026;Gruszki;11 828,00 zł;9 225,80 zł
4.09.2026;Banany;3 100,00 zł;1 767,00 zł
2.02.2026;Banany;2 459,00 zł;934,40 zł
14.10.2026;Ziemniaki;5 805,00 zł;2 380,10 zł
18.11.2026;Pomarańcze;5 677,00 zł;3 179,10 zł
8.06.2026;Banany;4 110,00 zł;2 096,10 zł
7.05.2026;Pomidory;1 621,00 zł;810,50 zł
23.01.2026;Pomarańcze;10 571,00 zł;3 382,70 zł
14.07.2026;Banany;4 380,00 zł;2 496,60 zł
3.06.2026;Gruszki;10 782,00 zł;3 558,10 zł
11.08.2026;Pomarańcze;1 797,00 zł;1 437,60 zł
5.06.2026;Banany;7 007,00 zł;4 134,10 zł
5.12.2026;Pomidory;5 975,00 zł;1 792,50 zł
9.04.2026;Gruszki;982,00 zł;392,80 zł
6.10.2026;Ziemniaki;5 425,00 zł;3 526,30 zł
5.02.2026;Marchew;9 852,00 zł;7 192,00 zł
31.10.2026;Pomarańcze;616,00 zł;431,20 zł
18.03.2026;Jabłka;2 423,00 zł;1 914,20 zł
15.08.2026;Jabłka;2 142,00 zł;1 178,10 zł
28.08.2026;Banany;8 002,00 zł;2 960,70 zł
9.08.2026;Banany;3 895,00 zł;1 207,50 zł
9.02.2026;Jabłka;11 605,00 zł;4 874,10 zł
8.01.2026;Pomidory;6 269,00 zł;3 259,90 zł
24.09.2026;Jabłka;9 985,00 zł;5 591,60 zł
31.08.2026;Ziemniaki;1 303,00 zł;547,30 zł
8.12.2026;Marchew;4 972,00 zł;3 032,90 zł
16.07.2026;Marchew;8 365,00 zł;5 771,90 zł
18.07.2026;Banany;1 598,00 zł;1 118,60 zł
10.01.2026;Jabłka;10 216,00 zł;6 640,40 zł
22.01.2026;Gruszki;4 571,00 zł;3 245,40 zł
15.07.2026;Pomarańcze;1 579,00 zł;631,60 zł
5.12.2026;Pomidory;9 672,00 zł;6 383,50 zł
18.05.2026;Pomarańcze;4 794,00 zł;2 349,10 zł
1.11.2026;Banany;11 850,00 zł;3 792,00 zł
12.07.2026;Jabłka;10 244,00 zł;3 585,40 zł
