Data | Produkt | Masa | Cena
2026-01-12 | Jabˆka | 1,5 | 4,50 zˆ
2026-01-03 | Pomidory | 1 | 8,00 zˆ
2026-01-24 | Marchew | 0,5 | 1,80 zˆ
2026-01-09 | Gruszki | 1,5 | 5,00 zˆ
2026-01-06 | Banany | 1 | 6,00 zˆ
2026-01-04 | Marchew | 0,5 | 1,80 zˆ
2026-01-03 | Ziemniaki | 0,5 | 1,20 zˆ
2026-01-13 | Gruszki | 1,5 | 5,00 zˆ
2026-01-05 | Pomidory | 5 | 8,00 zˆ
2026-01-05 | Ziemniaki | 1 | 1,20 zˆ
2026-01-16 | Banany | 0,5 | 6,00 zˆ
2026-01-23 | Pomidory | 1,2 | 8,00 zˆ
2026-01-19 | Marchew | 0,5 | 1,80 zˆ
2026-01-11 | Banany | 1,5 | 6,00 zˆ
2026-01-07 | Gruszki | 1 | 5,00 zˆ
2026-01-23 | Marchew | 1,8 | 1,80 zˆ
2026-01-20 | Pomidory | 1 | 8,00 zˆ
2026-01-12 | Ziemniaki | 2 | 1,20 zˆ
2026-01-14 | Ziemniaki | 2 | 1,20 zˆ
2026-01-20 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-13 | Marchew | 2 | 1,80 zˆ
2026-01-09 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-27 | Pomidory | 0,5 | 8,00 zˆ
2026-01-22 | Gruszki | 1 | 5,00 zˆ
2026-01-06 | Banany | 2 | 6,00 zˆ
2026-01-03 | Marchew | 5 | 1,80 zˆ
2026-01-22 | Banany | 0,7 | 6,00 zˆ
2026-01-23 | Pomaraäcze | 2 | 7,50 zˆ
2026-01-02 | Gruszki | 1 | 5,00 zˆ
2026-01-15 | Gruszki | 0,5 | 5,00 zˆ
2026-01-24 | Jabˆka | 3 | 4,50 zˆ
2026-01-31 | Pomidory | 0,5 | 8,00 zˆ
2026-01-05 | Pomidory | 1,5 | 8,00 zˆ
2026-01-26 | Banany | 0,5 | 6,00 zˆ
2026-01-12 | Marchew | 1 | 1,80 zˆ
2026-01-26 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-15 | Banany | 0,5 | 6,00 zˆ
2026-01-14 | Banany | 1,2 | 6,00 zˆ
2026-01-28 | Ziemniaki | 0,5 | 1,20 zˆ
2026-01-21 | Pomaraäcze | 2 | 7,50 zˆ
2026-01-16 | Jabˆka | 1,5 | 4,50 zˆ
2026-01-29 | Pomidory | 0,5 | 8,00 zˆ
2026-01-17 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-16 | Pomidory | 0,5 | 8,00 zˆ
2026-01-07 | Gruszki | 1 | 5,00 zˆ
2026-01-23 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-01 | Marchew | 0,5 | 1,80 zˆ
2026-01-01 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-30 | Jabˆka | 1 | 4,50 zˆ
2026-01-09 | Banany | 0,5 | 6,00 zˆ
2026-01-28 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-17 | Marchew | 1,5 | 1,80 zˆ
2026-01-24 | Jabˆka | 0,7 | 4,50 zˆ
2026-01-24 | Gruszki | 0,5 | 5,00 zˆ
2026-01-06 | Marchew | 2 | 1,80 zˆ
2026-01-04 | Banany | 0,5 | 6,00 zˆ
2026-01-18 | Pomidory | 1 | 8,00 zˆ
2026-01-17 | Pomaraäcze | 1 | 7,50 zˆ
2026-01-12 | Banany | 0,5 | 6,00 zˆ
2026-01-27 | Jabˆka | 2 | 4,50 zˆ
2026-01-09 | Ziemniaki | 2 | 1,20 zˆ
2026-01-09 | Gruszki | 2,5 | 5,00 zˆ
2026-01-22 | Gruszki | 2 | 5,00 zˆ
2026-01-29 | Pomidory | 1,5 | 8,00 zˆ
2026-01-09 | Banany | 1,5 | 6,00 zˆ
2026-01-20 | Jabˆka | 1 | 4,50 zˆ
2026-01-06 | Pomaraäcze | 0,7 | 7,50 zˆ
2026-01-31 | Marchew | 1 | 1,80 zˆ
2026-01-19 | Pomaraäcze | 1 | 7,50 zˆ
2026-01-04 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-16 | Marchew | 0,5 | 1,80 zˆ
2026-01-25 | Marchew | 0,5 | 1,80 zˆ
2026-01-26 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-14 | Pomidory | 1,8 | 8,00 zˆ
2026-01-26 | Pomidory | 1,5 | 8,00 zˆ
2026-01-10 | Pomidory | 1,8 | 8,00 zˆ
2026-01-29 | Gruszki | 1,2 | 5,00 zˆ
2026-01-02 | Gruszki | 2 | 5,00 zˆ
2026-01-06 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-27 | Pomidory | 0,5 | 8,00 zˆ
2026-01-07 | Banany | 0,5 | 6,00 zˆ
2026-01-06 | Pomidory | 0,5 | 8,00 zˆ
2026-01-31 | Pomaraäcze | 0,5 | 7,50 zˆ
2026-01-05 | Pomidory | 0,5 | 8,00 zˆ
2026-01-17 | Pomaraäcze | 1,5 | 7,50 zˆ
2026-01-07 | Jabˆka | 1 | 4,50 zˆ
2026-01-12 | Gruszki | 0,5 | 5,00 zˆ
2026-01-05 | Pomidory | 1 | 8,00 zˆ
2026-01-29 | Gruszki | 0,5 | 5,00 zˆ
2026-01-18 | Gruszki | 2 | 5,00 zˆ
2026-01-22 | Pomaraäcze | 2 | 7,50 zˆ
2026-01-02 | Jabˆka | 0,5 | 4,50 zˆ
2026-01-24 | Marchew | 0,5 | 1,80 zˆ
