Data;Produkt;Przychód;Koszt
5.07.2026;Ziemniaki;6 309,00 zł;3 280,70 zł
10.05.2026;Pomidory;4 255,00 zł;1 829,70 zł
11.02.2026;Pomarańcze;1 862,00 zł;1 024,10 zł
2.10.2026;Pomarańcze;10 304,00 zł;4 430,70 zł
2.08.2026;Ziemniaki;11 051,00 zł;7 735,70 zł
27.11.2026;Marchew;8 789,00 zł;5 800,70 zł
15.07.2026;Pomarańcze;3 461,00 zł;1 834,30 zł
28.09.2026;Marchew;6 086,00 zł;3 469,00 zł
27.11.2026;Marchew;666,00 zł;532,80 zł
14.05.2026;Jabłka;9 459,00 zł;5 959,20 zł
12.10.2026;Banany;8 960,00 zł;3 673,60 zł
28.04.2026;Pomarańcze;11 646,00 zł;7 569,90 zł
20.05.2026;Pomidory;5 414,00 zł;2 219,70 zł
20.11.2026;Ziemniaki;10 154,00 zł;6 600,10 zł
7.12.2026;Jabłka;6 331,00 zł;3 861,90 zł
6.07.2026;Gruszki;7 493,00 zł;4 345,90 zł
20.03.2026;Ziemniaki;10 286,00 zł;4 834,40 zł
4.08.2026;Jabłka;8 929,00 zł;4 821,70 zł
10.01.2026;Marchew;1 558,00 zł;498,60 zł
18.09.2026;Ziemniaki;5 218,00 zł;2 295,90 zł
14.02.2026;Gruszki;9 215,00 zł;5 344,70 zł
2.12.2026;Banany;11 839,00 zł;9 352,80 zł
6.04.2026;Jabłka;8 206,00 zł;3 938,90 zł
4.04.2026;Jabłka;6 933,00 zł;3 119,90 zł
25.11.2026;Pomarańcze;1 182,00 zł;851,00 zł
19.12.2026;Jabłka;3 694,00 zł;2 253,30 zł
27.11.2026;Marchew;4 094,00 zł;1 596,70 zł
20.09.2026;Pomarańcze;4 458,00 zł;2 451,90 zł
15.06.2026;Banany;11 628,00 zł;5 697,70 zł
1.05.2026;Jabłka;7 499,00 zł;5 849,20 zł
5.01.2026;Gruszki;2 021,00 zł;1 253,00 zł
15.04.2026;Marchew;7 578,00 zł;2 349,20 zł
17.05.2026;Marchew;3 662,00 zł;1 867,60 zł
24.06.2026;Jabłka;11 994,00 zł;5 877,10 zł
28.02.2026;Marchew;10 304,00 zł;7 728,00 zł
1.06.2026;Gruszki;1 215,00 zł;583,20 zł
21.08.2026;Pomarańcze;2 072,00 zł;911,70 zł
4.06.2026;Ziemniaki;5 257,00 zł;2 575,90 zł
31.05.2026;Pomarańcze;8 778,00 zł;4 564,60 zł
7.02.2026;Ziemniaki;7 695,00 zł;3 385,80 zł
23.10.2026;Pomarańcze;3 598,00 zł;1 511,20 zł
24.07.2026;Marchew;9 147,00 zł;3 750,30 zł
16.12.2026;Marchew;4 400,00 zł;2 332,00 zł
15.03.2026;Pomarańcze;1 719,00 zł;636,00 zł
25.09.2026;Pomarańcze;2 221,00 zł;1 243,80 zł
9.06.2026;Gruszki;10 291,00 zł;7 100,80 zł
5.01.2026;Gruszki;2 704,00 zł;1 892,80 zł
18.12.2026;Pomarańcze;9 466,00 zł;3 218,40 zł
29.09.2026;Pomidory;1 236,00 zł;568,60 zł
30.01.2026;Gruszki;1 333,00 zł;586,50 zł
3.04.2026;Banany;9 103,00 zł;5 552,80 zł
14.06.2026;Jabłka;6 964,00 zł;4 039,10 zł
9.05.2026;Ziemniaki;6 642,00 zł;4 383,70 zł
22.05.2026;Banany;598,00 zł;191,40 zł
13.04.2026;Gruszki;2 496,00 zł;1 872,00 zł
23.08.2026;Banany;7 077,00 zł;5 095,40 zł
12.09.2026;Ziemniaki;11 634,00 zł;4 420,90 zł
4.04.2026;Pomarańcze;11 910,00 zł;5 359,50 zł
28.01.2026;Gruszki;4 696,00 zł;2 629,80 zł
13.10.2026;Pomarańcze;1 302,00 zł;533,80 zł
13.06.2026;Pomidory;7 494,00 zł;5 095,90 zł
15.06.2026;Marchew;6 764,00 zł;3 179,10 zł
5.04.2026;Jabłka;2 800,00 zł;1 652,00 zł
3.09.2026;Pomidory;10 548,00 zł;5 485,00 zł
16.08.2026;Jabłka;11 800,00 zł;6 962,00 zł
31.10.2026;Marchew;9 188,00 zł;2 940,20 zł
7.04.2026;Pomarańcze;5 696,00 zł;2 392,30 zł
10.05.2026;Ziemniaki;7 686,00 zł;2 767,00 zł
13.04.2026;Marchew;3 421,00 zł;1 197,40 zł
17.12.2026;Gruszki;6 163,00 zł;3 328,00 zł
27.06.2026;Jabłka;7 297,00 zł;3 356,60 zł
7.10.2026;Jabłka;5 980,00 zł;3 887,00 zł
28.03.2026;Banany;6 156,00 zł;1 908,40 zł
3.01.2026;Pomidory;2 033,00 zł;1 362,10 zł
20.08.2026;Ziemniaki;8 010,00 zł;4 966,20 zł
21.04.2026;Marchew;2 708,00 zł;839,50 zł
19.12.2026;Pomarańcze;7 982,00 zł;5 667,20 zł
27.07.2026;Ziemniaki;11 633,00 zł;3 489,90 zł
5.05.2026;Banany;5 885,00 zł;2 354,00 zł
21.03.2026;Banany;4 867,00 zł;3 650,30 zł
15.03.2026;Pomidory;6 219,00 zł;3 669,20 zł
30.12.2026;Pomidory;9 551,00 zł;6 685,70 zł
19.12.2026;Banany;610,00 zł;256,20 zł
10.02.2026;Gruszki;6 531,00 zł;2 939,00 zł
22.05.2026;Marchew;1 385,00 zł;817,20 zł
26.02.2026;Pomidory;4 824,00 zł;3 618,00 zł
11.09.2026;Jabłka;4 729,00 zł;2 411,80 zł
7.01.2026;Banany;5 927,00 zł;3 437,70 zł
9.11.2026;Marchew;9 924,00 zł;3 274,90 zł
7.03.2026;Banany;1 784,00 zł;731,40 zł
26.05.2026;Jabłka;11 514,00 zł;3 454,20 zł
24.04.2026;Pomarańcze;3 219,00 zł;2 060,20 zł
1.06.2026;Jabłka;4 027,00 zł;1 490,00 zł
25.07.2026;Jabłka;8 477,00 zł;5 001,40 zł
15.12.2026;Ziemniaki;2 210,00 zł;884,00 zł
23.04.2026;Banany;9 201,00 zł;4 508,50 zł
28.09.2026;Marchew;2 427,00 zł;1 431,90 zł
6.03.2026;Jabłka;8 274,00 zł;5 709,10 zł
7.09.2026;Pomarańcze;1 595,00 zł;973,00 zł
21.10.2026;Marchew;2 500,00 zł;1 950,00 zł
28.04.2026;Pomidory;8 812,00 zł;2 996,10 zł
9.01.2026;Ziemniaki;6 813,00 zł;3 338,40 zł
29.04.2026;Banany;973,00 zł;710,30 zł
16.09.2026;Gruszki;8 006,00 zł;6 084,60 zł
19.03.2026;Jabłka;9 441,00 zł;5 664,60 zł
1.03.2026;Banany;2 522,00 zł;1 866,30 zł
28.03.2026;Gruszki;4 996,00 zł;2 398,10 zł
12.04.2026;Pomarańcze;6 150,00 zł;4 120,50 zł
30.05.2026;Ziemniaki;11 650,00 zł;6 524,00 zł
20.02.2026;Ziemniaki;4 751,00 zł;2 423,00 zł
20.05.2026;Gruszki;1 548,00 zł;959,80 zł
24.02.2026;Jabłka;9 481,00 zł;2 939,10 zł
19.03.2026;Marchew;3 119,00 zł;1 809,00 zł
16.10.2026;Pomidory;6 244,00 zł;2 247,80 zł
11.04.2026;Banany;1 323,00 zł;965,80 zł
14.12.2026;Jabłka;1 644,00 zł;1 282,30 zł
24.08.2026;Gruszki;3 294,00 zł;2 207,00 zł
8.09.2026;Marchew;7 512,00 zł;4 807,70 zł
20.08.2026;Banany;7 137,00 zł;3 354,40 zł
19.05.2026;Jabłka;3 580,00 zł;1 754,20 zł
19.10.2026;Ziemniaki;11 628,00 zł;5 116,30 zł
26.02.2026;Pomarańcze;1 356,00 zł;1 017,00 zł
6.12.2026;Banany;8 134,00 zł;3 253,60 zł
14.01.2026;Marchew;7 197,00 zł;3 814,40 zł
25.07.2026;Pomidory;5 534,00 zł;3 320,40 zł
7.10.2026;Pomidory;5 665,00 zł;2 379,30 zł
8.02.2026;Banany;11 936,00 zł;7 758,40 zł
15.09.2026;Jabłka;5 119,00 zł;3 276,20 zł
1.01.2026;Pomidory;6 203,00 zł;1 922,90 zł
7.01.2026;Pomarańcze;10 364,00 zł;5 285,60 zł
1.01.2026;Pomarańcze;3 700,00 zł;2 220,00 zł
17.07.2026;Marchew;7 021,00 zł;2 176,50 zł
23.04.2026;Marchew;9 238,00 zł;3 048,50 zł
25.09.2026;Banany;4 857,00 zł;3 691,30 zł
10.11.2026;Pomarańcze;4 258,00 zł;1 660,60 zł
14.07.2026;Banany;7 780,00 zł;6 146,20 zł
6.02.2026;Gruszki;1 893,00 zł;1 419,80 zł
5.10.2026;Pomarańcze;7 963,00 zł;3 583,40 zł
12.06.2026;Banany;8 675,00 zł;6 072,50 zł
11.05.2026;Banany;7 745,00 zł;6 118,60 zł
28.01.2026;Pomarańcze;4 809,00 zł;3 125,90 zł
1.04.2026;Banany;4 159,00 zł;2 994,50 zł
31.07.2026;Pomarańcze;704,00 zł;408,30 zł
28.05.2026;Pomarańcze;768,00 zł;553,00 zł
25.04.2026;Pomidory;1 418,00 zł;1 035,10 zł
31.03.2026;Gruszki;5 933,00 zł;2 788,50 zł
3.05.2026;Pomarańcze;9 310,00 zł;4 655,00 zł
23.08.2026;Pomidory;10 625,00 zł;6 800,00 zł
14.11.2026;Banany;9 875,00 zł;7 900,00 zł
23.02.2026;Jabłka;10 889,00 zł;7 840,10 zł
6.12.2026;Jabłka;4 883,00 zł;2 734,50 zł
13.10.2026;Marchew;11 839,00 zł;9 471,20 zł
17.04.2026;Gruszki;10 979,00 zł;8 783,20 zł
9.07.2026;Banany;2 785,00 zł;1 086,20 zł
10.02.2026;Pomarańcze;9 962,00 zł;7 770,40 zł
26.11.2026;Jabłka;2 027,00 zł;1 337,80 zł
9.06.2026;Banany;6 748,00 zł;3 036,60 zł
22.01.2026;Pomidory;7 106,00 zł;2 984,50 zł
1.09.2026;Pomarańcze;7 913,00 zł;3 402,60 zł
25.07.2026;Pomidory;1 322,00 zł;555,20 zł
4.02.2026;Banany;8 295,00 zł;4 396,40 zł
27.03.2026;Marchew;11 357,00 zł;3 407,10 zł
21.09.2026;Marchew;2 916,00 zł;1 283,00 zł
6.06.2026;Pomidory;11 297,00 zł;5 987,40 zł
1.11.2026;Pomidory;8 123,00 zł;3 330,40 zł
12.02.2026;Jabłka;2 673,00 zł;1 015,70 zł
8.06.2026;Gruszki;8 753,00 zł;4 289,00 zł
12.02.2026;Jabłka;6 996,00 zł;5 107,10 zł
8.09.2026;Gruszki;8 722,00 zł;6 279,80 zł
16.05.2026;Marchew;9 281,00 zł;3 341,20 zł
4.05.2026;Banany;10 015,00 zł;3 905,90 zł
30.11.2026;Pomidory;3 144,00 zł;2 263,70 zł
4.05.2026;Ziemniaki;7 272,00 zł;5 308,60 zł
16.08.2026;Pomarańcze;11 206,00 zł;7 059,80 zł
10.07.2026;Pomarańcze;5 123,00 zł;3 842,30 zł
10.06.2026;Pomidory;986,00 zł;453,60 zł
18.02.2026;Pomarańcze;7 013,00 zł;2 524,70 zł
27.10.2026;Jabłka;9 472,00 zł;6 346,20 zł
