Data;Produkt;Przychód;Koszt
28.11.2025;Banany;5 135,00 zł;2 310,80 zł
16.02.2025;Pomidory;7 440,00 zł;3 422,40 zł
16.04.2025;Pomarańcze;4 454,00 zł;2 761,50 zł
28.05.2025;Ziemniaki;1 713,00 zł;856,50 zł
16.04.2025;Gruszki;11 859,00 zł;6 048,10 zł
24.02.2025;Banany;11 664,00 zł;7 348,30 zł
30.06.2025;Banany;3 546,00 zł;2 375,80 zł
1.06.2025;Pomarańcze;4 972,00 zł;1 889,40 zł
15.08.2025;Ziemniaki;4 364,00 zł;2 007,40 zł
9.11.2025;Ziemniaki;811,00 zł;486,60 zł
26.10.2025;Pomarańcze;11 610,00 zł;9 288,00 zł
11.05.2025;Gruszki;7 222,00 zł;2 672,10 zł
11.04.2025;Banany;3 088,00 zł;2 408,60 zł
19.01.2025;Pomidory;5 567,00 zł;4 453,60 zł
4.06.2025;Gruszki;11 800,00 zł;5 900,00 zł
2.08.2025;Banany;10 500,00 zł;3 465,00 zł
25.05.2025;Gruszki;1 730,00 zł;830,40 zł
27.04.2025;Marchew;11 513,00 zł;4 720,30 zł
7.04.2025;Banany;4 363,00 zł;1 788,80 zł
22.09.2025;Pomarańcze;9 774,00 zł;3 029,90 zł
15.08.2025;Pomarańcze;10 654,00 zł;3 942,00 zł
26.07.2025;Gruszki;9 516,00 zł;4 853,20 zł
27.01.2025;Banany;4 611,00 zł;2 213,30 zł
19.04.2025;Jabłka;1 148,00 zł;424,80 zł
17.03.2025;Marchew;8 756,00 zł;3 239,70 zł
31.03.2025;Pomidory;11 399,00 zł;3 989,70 zł
21.03.2025;Marchew;6 698,00 zł;3 951,80 zł
25.03.2025;Pomarańcze;922,00 zł;359,60 zł
6.02.2025;Ziemniaki;10 424,00 zł;8 026,50 zł
14.02.2025;Jabłka;4 092,00 zł;2 496,10 zł
7.07.2025;Jabłka;3 262,00 zł;2 120,30 zł
25.02.2025;Pomidory;1 165,00 zł;349,50 zł
6.09.2025;Ziemniaki;9 724,00 zł;6 709,60 zł
22.06.2025;Jabłka;2 952,00 zł;2 155,00 zł
12.11.2025;Pomarańcze;9 350,00 zł;3 459,50 zł
12.01.2025;Jabłka;10 417,00 zł;6 875,20 zł
19.08.2025;Pomarańcze;2 767,00 zł;1 798,60 zł
4.11.2025;Pomidory;6 517,00 zł;5 083,30 zł
15.01.2025;Pomidory;10 201,00 zł;7 344,70 zł
22.10.2025;Jabłka;5 477,00 zł;2 355,10 zł
17.12.2025;Jabłka;6 235,00 zł;2 930,50 zł
26.09.2025;Pomidory;6 782,00 zł;4 272,70 zł
17.05.2025;Pomarańcze;10 159,00 zł;5 892,20 zł
6.11.2025;Ziemniaki;7 782,00 zł;5 058,30 zł
7.12.2025;Pomarańcze;2 669,00 zł;1 441,30 zł
18.04.2025;Pomidory;11 369,00 zł;5 002,40 zł
29.12.2025;Pomidory;2 922,00 zł;1 607,10 zł
28.04.2025;Jabłka;10 721,00 zł;7 933,50 zł
19.02.2025;Pomidory;6 549,00 zł;2 750,60 zł
3.09.2025;Banany;3 264,00 zł;1 599,40 zł
7.05.2025;Gruszki;4 361,00 zł;1 526,40 zł
10.07.2025;Pomarańcze;1 669,00 zł;884,60 zł
24.09.2025;Banany;1 063,00 zł;754,70 zł
29.09.2025;Gruszki;3 568,00 zł;2 176,50 zł
16.10.2025;Gruszki;11 364,00 zł;6 136,60 zł
29.06.2025;Ziemniaki;10 594,00 zł;7 627,70 zł
11.03.2025;Pomidory;5 049,00 zł;2 524,50 zł
23.05.2025;Ziemniaki;3 568,00 zł;2 069,40 zł
5.01.2025;Marchew;5 730,00 zł;4 469,40 zł
2.10.2025;Banany;9 918,00 zł;5 653,30 zł
18.03.2025;Gruszki;7 795,00 zł;2 728,30 zł
18.06.2025;Marchew;10 460,00 zł;4 393,20 zł
17.12.2025;Banany;528,00 zł;232,30 zł
20.03.2025;Jabłka;2 398,00 zł;1 846,50 zł
16.06.2025;Jabłka;5 399,00 zł;2 753,50 zł
26.04.2025;Banany;11 514,00 zł;5 181,30 zł
18.07.2025;Pomarańcze;8 162,00 zł;4 489,10 zł
11.03.2025;Pomarańcze;10 540,00 zł;4 321,40 zł
23.08.2025;Jabłka;990,00 zł;613,80 zł
5.06.2025;Jabłka;2 727,00 zł;1 172,60 zł
28.05.2025;Gruszki;11 501,00 zł;8 740,80 zł
10.08.2025;Jabłka;2 947,00 zł;1 355,60 zł
8.06.2025;Pomarańcze;7 326,00 zł;5 714,30 zł
27.04.2025;Jabłka;4 320,00 zł;1 944,00 zł
22.02.2025;Marchew;1 249,00 zł;374,70 zł
26.08.2025;Pomarańcze;4 541,00 zł;2 770,00 zł
2.09.2025;Gruszki;9 162,00 zł;4 855,90 zł
25.05.2025;Banany;3 872,00 zł;1 936,00 zł
6.02.2025;Jabłka;6 926,00 zł;5 333,00 zł
30.10.2025;Pomidory;822,00 zł;501,40 zł
11.03.2025;Marchew;2 632,00 zł;1 131,80 zł
2.07.2025;Jabłka;1 616,00 zł;759,50 zł
28.06.2025;Banany;10 916,00 zł;3 929,80 zł
30.12.2025;Ziemniaki;5 631,00 zł;2 139,80 zł
9.06.2025;Gruszki;10 356,00 zł;5 592,20 zł
5.10.2025;Banany;1 493,00 zł;1 194,40 zł
18.12.2025;Jabłka;1 371,00 zł;507,30 zł
21.12.2025;Pomarańcze;8 370,00 zł;3 180,60 zł
27.04.2025;Pomarańcze;5 558,00 zł;3 946,20 zł
9.09.2025;Ziemniaki;2 239,00 zł;671,70 zł
12.03.2025;Pomidory;10 053,00 zł;3 518,60 zł
30.07.2025;Gruszki;8 220,00 zł;2 630,40 zł
12.08.2025;Pomarańcze;4 177,00 zł;2 923,90 zł
15.09.2025;Ziemniaki;1 779,00 zł;693,80 zł
20.09.2025;Pomarańcze;7 706,00 zł;3 698,90 zł
17.04.2025;Ziemniaki;7 064,00 zł;3 673,30 zł
10.06.2025;Banany;6 271,00 zł;4 640,50 zł
28.05.2025;Banany;627,00 zł;213,20 zł
4.04.2025;Pomarańcze;4 856,00 zł;1 942,40 zł
19.06.2025;Ziemniaki;11 919,00 zł;7 389,80 zł
10.06.2025;Pomidory;7 382,00 zł;3 469,50 zł
30.10.2025;Pomarańcze;8 043,00 zł;3 056,30 zł
11.01.2025;Banany;7 194,00 zł;5 611,30 zł
7.05.2025;Banany;7 589,00 zł;3 946,30 zł
5.12.2025;Jabłka;4 166,00 zł;2 666,20 zł
15.05.2025;Pomidory;1 900,00 zł;722,00 zł
12.06.2025;Gruszki;10 966,00 zł;5 921,60 zł
3.05.2025;Pomidory;4 163,00 zł;1 498,70 zł
2.10.2025;Gruszki;9 214,00 zł;3 685,60 zł
2.07.2025;Jabłka;6 301,00 zł;2 898,50 zł
