Data;Produkt;Przychód;Koszt
1.09.2026;Banany;7 687,00 zł;4 689,10 zł
20.12.2026;Banany;2 724,00 zł;1 852,30 zł
2.06.2026;Ziemniaki;1 386,00 zł;540,50 zł
12.03.2026;Pomidory;2 956,00 zł;1 300,60 zł
10.09.2026;Marchew;2 112,00 zł;844,80 zł
8.03.2026;Marchew;4 528,00 zł;1 947,00 zł
23.03.2026;Gruszki;7 483,00 zł;4 190,50 zł
22.10.2026;Ziemniaki;8 687,00 zł;6 254,60 zł
14.04.2026;Banany;2 470,00 zł;1 605,50 zł
15.11.2026;Pomidory;5 762,00 zł;4 091,00 zł
13.06.2026;Marchew;2 321,00 zł;974,80 zł
8.06.2026;Gruszki;8 088,00 zł;4 044,00 zł
19.12.2026;Marchew;7 387,00 zł;4 506,10 zł
5.08.2026;Banany;6 693,00 zł;3 614,20 zł
12.03.2026;Gruszki;1 438,00 zł;891,60 zł
11.04.2026;Pomarańcze;1 477,00 zł;738,50 zł
11.01.2026;Banany;987,00 zł;690,90 zł
13.03.2026;Pomarańcze;564,00 zł;344,00 zł
16.10.2026;Ziemniaki;8 883,00 zł;4 530,30 zł
29.10.2026;Pomarańcze;8 239,00 zł;5 273,00 zł
24.05.2026;Pomarańcze;5 250,00 zł;2 467,50 zł
16.07.2026;Ziemniaki;3 412,00 zł;2 251,90 zł
16.06.2026;Gruszki;2 583,00 zł;1 343,20 zł
3.03.2026;Gruszki;2 451,00 zł;1 740,20 zł
11.09.2026;Jabłka;7 099,00 zł;2 768,60 zł
18.03.2026;Banany;11 158,00 zł;4 016,90 zł
28.04.2026;Banany;511,00 zł;265,70 zł
17.04.2026;Marchew;637,00 zł;267,50 zł
7.08.2026;Banany;9 011,00 zł;2 973,60 zł
12.03.2026;Marchew;10 890,00 zł;4 573,80 zł
22.09.2026;Pomarańcze;10 013,00 zł;6 909,00 zł
21.12.2026;Banany;8 896,00 zł;4 537,00 zł
11.12.2026;Banany;3 441,00 zł;1 169,90 zł
13.09.2026;Banany;5 572,00 zł;3 789,00 zł
12.10.2026;Banany;4 309,00 zł;2 499,20 zł
24.10.2026;Banany;1 730,00 zł;743,90 zł
6.01.2026;Pomarańcze;9 396,00 zł;3 758,40 zł
13.09.2026;Banany;3 646,00 zł;2 515,70 zł
