Data;Produkt;Przychód;Koszt
22.05.2026;Jabłka;3 295,00 zł;2 010,00 zł
14.11.2026;Pomidory;5 327,00 zł;4 155,10 zł
8.05.2026;Ziemniaki;7 886,00 zł;2 523,50 zł
3.02.2026;Pomarańcze;10 214,00 zł;7 660,50 zł
17.07.2026;Pomidory;9 888,00 zł;3 263,00 zł
16.01.2026;Pomarańcze;9 042,00 zł;4 068,90 zł
12.03.2026;Pomidory;7 521,00 zł;4 738,20 zł
27.02.2026;Banany;1 318,00 zł;922,60 zł
12.06.2026;Ziemniaki;10 012,00 zł;6 708,00 zł
10.01.2026;Banany;4 532,00 zł;1 994,10 zł
1.10.2026;Jabłka;10 834,00 zł;4 658,60 zł
16.12.2026;Gruszki;5 429,00 zł;2 986,00 zł
20.05.2026;Banany;4 626,00 zł;2 729,30 zł
13.11.2026;Pomidory;9 420,00 zł;6 782,40 zł
9.10.2026;Gruszki;5 846,00 zł;3 741,40 zł
20.08.2026;Pomidory;6 674,00 zł;4 872,00 zł
3.12.2026;Banany;10 418,00 zł;7 084,20 zł
19.08.2026;Pomidory;3 166,00 zł;2 121,20 zł
6.06.2026;Pomidory;7 168,00 zł;3 225,60 zł
26.02.2026;Pomarańcze;5 275,00 zł;2 690,30 zł
5.06.2026;Ziemniaki;11 079,00 zł;6 536,60 zł
14.05.2026;Ziemniaki;7 890,00 zł;2 761,50 zł
27.08.2026;Pomarańcze;6 953,00 zł;5 006,20 zł
13.02.2026;Marchew;11 268,00 zł;3 831,10 zł
16.04.2026;Banany;11 379,00 zł;5 234,30 zł
8.05.2026;Gruszki;10 771,00 zł;7 108,90 zł
2.05.2026;Ziemniaki;8 959,00 zł;6 540,10 zł
2.06.2026;Banany;2 636,00 zł;843,50 zł
30.04.2026;Pomarańcze;6 181,00 zł;2 534,20 zł
28.05.2026;Gruszki;4 347,00 zł;3 260,30 zł
18.06.2026;Banany;3 523,00 zł;1 585,40 zł
17.09.2026;Pomidory;6 188,00 zł;2 413,30 zł
24.11.2026;Jabłka;1 297,00 zł;804,10 zł
20.12.2026;Marchew;10 345,00 zł;3 827,70 zł
18.07.2026;Banany;7 936,00 zł;5 634,60 zł
20.10.2026;Pomidory;9 838,00 zł;6 001,20 zł
28.12.2026;Banany;6 915,00 zł;4 149,00 zł
27.08.2026;Ziemniaki;4 937,00 zł;3 159,70 zł
28.03.2026;Pomidory;7 018,00 zł;2 456,30 zł
8.05.2026;Banany;9 270,00 zł;3 244,50 zł
15.06.2026;Jabłka;9 432,00 zł;5 093,30 zł
22.01.2026;Banany;7 348,00 zł;4 335,30 zł
19.09.2026;Pomarańcze;5 313,00 zł;3 400,30 zł
30.12.2026;Gruszki;8 444,00 zł;4 559,80 zł
20.06.2026;Gruszki;8 813,00 zł;3 965,90 zł
6.09.2026;Marchew;543,00 zł;173,80 zł
15.03.2026;Gruszki;7 892,00 zł;3 788,20 zł
9.11.2026;Pomarańcze;2 560,00 zł;1 433,60 zł
14.11.2026;Pomarańcze;11 607,00 zł;3 946,40 zł
17.11.2026;Jabłka;11 358,00 zł;8 632,10 zł
13.10.2026;Gruszki;548,00 zł;230,20 zł
2.03.2026;Gruszki;1 255,00 zł;376,50 zł
5.04.2026;Gruszki;9 374,00 zł;4 405,80 zł
