Data        Produkt       Miasto    Przychód   Koszty     
2026-01-24  Jabłka        Wrocław   2385,00 zł 1860,30 zł 
2026-01-19  Pomidory      Kielce    11865,00 zł6525,80 zł 
2026-01-02  Marchew       Warszawa  9565,00 zł 3252,10 zł 
2026-01-03  Gruszki       Kraków    2790,00 zł 2008,80 zł 
2026-01-04  Banany        Kraków    8220,00 zł 5671,80 zł 
2026-01-31  Marchew       Wrocław   6420,00 zł 4044,60 zł 
2026-01-20  Ziemniaki     Kraków    4750,00 zł 2517,50 zł 
2026-01-29  Gruszki       Toruń     2915,00 zł 1632,40 zł 
2026-01-05  Pomidory      Toruń     4945,00 zł 3115,40 zł 
2026-01-26  Ziemniaki     Warszawa  4830,00 zł 1593,90 zł 
2026-01-26  Banany        Wrocław   7645,00 zł 5122,20 zł 
2026-01-08  Pomidory      Warszawa  2755,00 zł 1928,50 zł 
2026-01-27  Marchew       Toruń     3275,00 zł 1441,00 zł 
2026-01-16  Banany        Warszawa  5580,00 zł 3738,60 zł 
2026-01-03  Gruszki       Kielce    7645,00 zł 4281,20 zł 
2026-01-04  Marchew       Warszawa  9990,00 zł 3696,30 zł 
2026-01-11  Pomidory      Wrocław   6660,00 zł 2797,20 zł 
2026-01-10  Ziemniaki     Toruń     6365,00 zł 4073,60 zł 
2026-01-08  Ziemniaki     Kraków    2445,00 zł 1956,00 zł 
2026-01-15  Pomarańcze    Wrocław   3465,00 zł 1108,80 zł 
2026-01-11  Marchew       Kraków    2130,00 zł 1597,50 zł 
2026-01-24  Jabłka        Toruń     2255,00 zł 1353,00 zł 
2026-01-04  Pomidory      Kielce    1460,00 zł 496,40 zł  
2026-01-09  Gruszki       Wrocław   5315,00 zł 2391,80 zł 
2026-01-17  Banany        Kielce    3115,00 zł 1308,30 zł 
2026-01-05  Marchew       Kielce    5990,00 zł 1976,70 zł 
2026-01-14  Banany        Wrocław   950,00 zł  646,00 zł  
2026-01-05  Pomarańcze    Wrocław   7975,00 zł 2871,00 zł 
2026-01-30  Gruszki       Wrocław   3415,00 zł 1639,20 zł 
2026-01-19  Gruszki       Toruń     9730,00 zł 3016,30 zł 
2026-01-25  Jabłka        Kielce    3770,00 zł 2035,80 zł 
2026-01-27  Pomidory      Kraków    385,00 zł  138,60 zł  
2026-01-15  Pomidory      Toruń     8290,00 zł 5637,20 zł 
2026-01-15  Banany        Kielce    4365,00 zł 1440,50 zł 
2026-01-14  Marchew       Kraków    3510,00 zł 2386,80 zł 
2026-01-12  Jabłka        Kielce    6560,00 zł 3476,80 zł 
2026-01-10  Banany        Kielce    1555,00 zł 544,30 zł  
2026-01-03  Banany        Warszawa  6010,00 zł 2584,30 zł 
2026-01-25  Ziemniaki     Warszawa  6410,00 zł 2307,60 zł 
2026-01-28  Pomarańcze    Kraków    670,00 zł  268,00 zł  
2026-01-03  Jabłka        Kraków    5215,00 zł 2868,30 zł 
2026-01-23  Pomidory      Kraków    2185,00 zł 1442,10 zł 
2026-01-09  Jabłka        Kielce    7900,00 zł 4582,00 zł 
2026-01-18  Pomidory      Kielce    2500,00 zł 1925,00 zł 
2026-01-02  Gruszki       Wrocław   6880,00 zł 2201,60 zł 
2026-01-08  Jabłka        Kielce    8790,00 zł 4746,60 zł 
2026-01-19  Marchew       Kielce    8630,00 zł 3624,60 zł 
2026-01-03  Pomarańcze    Kraków    340,00 zł  136,00 zł  
2026-01-29  Jabłka        Wrocław   4825,00 zł 3088,00 zł 
2026-01-25  Banany        Wrocław   7050,00 zł 3807,00 zł 
2026-01-11  Pomarańcze    Toruń     2310,00 zł 1801,80 zł 
2026-01-27  Marchew       Wrocław   9165,00 zł 5774,00 zł 
2026-01-14  Jabłka        Kraków    1205,00 zł 421,80 zł  
2026-01-26  Gruszki       Warszawa  3795,00 zł 2846,30 zł 
2026-01-31  Marchew       Toruń     1995,00 zł 957,60 zł  
2026-01-06  Banany        Toruń     6120,00 zł 2448,00 zł 
2026-01-14  Pomidory      Warszawa  480,00 zł  163,20 zł  
2026-01-26  Pomarańcze    Kielce    7250,00 zł 3335,00 zł 
2026-01-24  Banany        Kraków    9600,00 zł 6336,00 zł 
2026-01-19  Jabłka        Warszawa  4900,00 zł 1617,00 zł 
2026-01-28  Ziemniaki     Kraków    2735,00 zł 1723,10 zł 
2026-01-13  Gruszki       Wrocław   4850,00 zł 2328,00 zł 
2026-01-20  Gruszki       Toruń     8800,00 zł 5984,00 zł 
2026-01-03  Pomidory      Kraków    7040,00 zł 3097,60 zł 
2026-01-04  Banany        Toruń     8555,00 zł 5047,50 zł 
2026-01-23  Jabłka        Warszawa  2735,00 zł 1941,90 zł 
2026-01-19  Pomarańcze    Wrocław   6570,00 zł 2956,50 zł 
2026-01-31  Marchew       Toruń     7175,00 zł 2439,50 zł 
2026-01-22  Pomarańcze    Kielce    1440,00 zł 720,00 zł  
2026-01-29  Pomarańcze    Kraków    7470,00 zł 3062,70 zł 
2026-01-31  Marchew       Kielce    7680,00 zł 4454,40 zł 
2026-01-31  Marchew       Kielce    6155,00 zł 4739,40 zł 
2026-01-12  Pomarańcze    Kraków    6745,00 zł 2360,80 zł 
2026-01-25  Pomidory      Wrocław   5900,00 zł 4484,00 zł 
2026-01-12  Pomidory      Kielce    420,00 zł  231,00 zł  
2026-01-26  Pomidory      Kielce    3590,00 zł 2297,60 zł 
2026-01-28  Gruszki       Kraków    8455,00 zł 6087,60 zł 
2026-01-27  Gruszki       Wrocław   2620,00 zł 1912,60 zł 
2026-01-13  Jabłka        Wrocław   620,00 zł  396,80 zł  
2026-01-20  Pomidory      Kielce    975,00 zł  487,50 zł  
2026-01-13  Banany        Warszawa  5455,00 zł 3982,20 zł 
2026-01-14  Pomidory      Toruń     530,00 zł  254,40 zł  
2026-01-20  Pomarańcze    Wrocław   1540,00 zł 708,40 zł  
2026-01-08  Pomidory      Kraków    8485,00 zł 4497,10 zł 
2026-01-05  Pomarańcze    Kraków    2165,00 zł 736,10 zł  
2026-01-24  Jabłka        Toruń     4205,00 zł 1261,50 zł 
2026-01-30  Gruszki       Wrocław   3715,00 zł 2600,50 zł 
2026-01-07  Pomidory      Wrocław   1075,00 zł 322,50 zł  
2026-01-16  Gruszki       Warszawa  5470,00 zł 2133,30 zł 
2026-01-23  Gruszki       Toruń     3620,00 zł 2172,00 zł 
2026-01-26  Pomarańcze    Wrocław   2915,00 zł 1078,60 zł 
2026-01-08  Jabłka        Toruń     2535,00 zł 1698,50 zł 
2026-01-23  Marchew       Kielce    6745,00 zł 4451,70 zł 
2026-01-17  Pomarańcze    Toruń     730,00 zł  233,60 zł  
2026-01-03  Banany        Kielce    5715,00 zł 4172,00 zł 
2026-01-05  Marchew       Kraków    2975,00 zł 1755,30 zł 
2026-01-29  Pomarańcze    Wrocław   4000,00 zł 1840,00 zł 
2026-01-09  Gruszki       Kraków    5450,00 zł 2888,50 zł 
2026-01-10  Ziemniaki     Toruń     8675,00 zł 6593,00 zł 
2026-01-25  Gruszki       Warszawa  2690,00 zł 2125,10 zł 
2026-01-08  Ziemniaki     Wrocław   6925,00 zł 2077,50 zł 
2026-01-20  Pomarańcze    Kraków    2600,00 zł 988,00 zł  
2026-01-25  Gruszki       Kraków    6410,00 zł 2435,80 zł 
2026-01-09  Marchew       Kielce    9800,00 zł 3332,00 zł 
2026-01-23  Pomidory      Kielce    5440,00 zł 2502,40 zł 
2026-01-18  Marchew       Wrocław   7210,00 zł 3172,40 zł 
2026-01-11  Pomarańcze    Toruń     1190,00 zł 523,60 zł  
2026-01-04  Marchew       Wrocław   3515,00 zł 2109,00 zł 
2026-01-15  Jabłka        Warszawa  8430,00 zł 5816,70 zł 
2026-01-10  Pomidory      Toruń     5645,00 zł 3104,80 zł 
